,station,date,prcp,tobs,nulls
387,USC00519397,2011-03-04,0.88,72,False
388,USC00519397,2011-03-05,0.4,69,False
389,USC00519397,2011-03-06,0.03,70,False
390,USC00519397,2011-03-08,0.115,72,True
391,USC00519397,2011-03-09,0.2,71,False
392,USC00519397,2011-03-10,0.15,71,False
393,USC00519397,2011-03-12,0.0,72,False
394,USC00519397,2011-03-13,0.0,70,False
395,USC00519397,2011-03-14,0.0,71,False
396,USC00519397,2011-03-16,0.0,76,False
397,USC00519397,2011-03-17,0.01,73,False
398,USC00519397,2011-03-18,0.05,74,False
399,USC00519397,2011-03-19,0.01,74,False
400,USC00519397,2011-03-20,0.02,74,False
401,USC00519397,2011-03-21,0.0,74,False
402,USC00519397,2011-03-22,0.02,74,False
403,USC00519397,2011-03-23,0.0,74,False
404,USC00519397,2011-03-24,0.06,73,False
405,USC00519397,2011-03-25,0.0,74,False
406,USC00519397,2011-03-26,0.0,74,False
407,USC00519397,2011-03-27,0.0,73,False
408,USC00519397,2011-03-28,0.04,74,False
409,USC00519397,2011-03-30,0.0,75,False
410,USC00519397,2011-03-31,0.0,74,False
411,USC00519397,2011-04-01,0.05,74,False
412,USC00519397,2011-04-02,0.04,75,False
413,USC00519397,2011-04-03,0.0,74,False
414,USC00519397,2011-04-04,0.0,75,False
415,USC00519397,2011-04-05,0.0,74,False
416,USC00519397,2011-04-06,0.09,70,False
417,USC00519397,2011-04-07,1.11,70,False
418,USC00519397,2011-04-08,0.36,70,False
419,USC00519397,2011-04-09,0.02,76,False
420,USC00519397,2011-04-10,0.0,76,False
421,USC00519397,2011-04-11,0.0,76,False
422,USC00519397,2011-04-12,0.0,76,False
423,USC00519397,2011-04-13,0.0,70,False
424,USC00519397,2011-04-15,0.0,77,False
425,USC00519397,2011-04-16,0.12,74,False
426,USC00519397,2011-04-17,0.0,73,False
427,USC00519397,2011-04-18,0.0,76,False
428,USC00519397,2011-04-19,0.0,76,False
429,USC00519397,2011-04-20,0.0,74,False
430,USC00519397,2011-04-21,0.0,77,False
431,USC00519397,2011-04-22,0.0,77,False
432,USC00519397,2011-04-23,0.0,78,False
433,USC00519397,2011-04-24,0.0,77,False
434,USC00519397,2011-04-25,0.0,77,False
435,USC00519397,2011-04-26,0.0,76,False
436,USC00519397,2011-04-27,0.0,77,False
437,USC00519397,2011-04-29,0.0,78,False
438,USC00519397,2011-04-30,0.04,76,False
439,USC00519397,2011-05-01,0.0,77,False
440,USC00519397,2011-05-02,0.0,77,False
441,USC00519397,2011-05-03,2.1,70,False
442,USC00519397,2011-05-04,0.02,76,False
443,USC00519397,2011-05-05,0.12,74,False
444,USC00519397,2011-05-06,0.12,72,False
445,USC00519397,2011-05-07,0.55,74,False
446,USC00519397,2011-05-08,0.55,73,False
447,USC00519397,2011-05-09,0.02,75,False
448,USC00519397,2011-05-10,0.11,75,False
449,USC00519397,2011-05-11,0.1,75,False
450,USC00519397,2011-05-12,0.0,76,False
